"Type.of.feeding.interaction","Predator.lifestage","Location","Regression.slope","Regression.intercept","R.squared","Fstatistic","P.value"
"insectivorous","larva / juvenile","Strait of Georgia",81.1591380069622,-3.45975627178893,0.608629729688045,49.2088780154159,8.51926669047017e-08
"piscivorous","adult","Apalachicola Bay, Florida",33.0987246647544,2542.50380929219,0.122471962626793,12.8630019554008,0.000561879679057593
"piscivorous","adult","Atlantic Ocean",4.86223410967456,1781.92810925732,0.0783366742002117,935.348840164217,3.20607848900446e-197
"piscivorous","adult","Cape Cod Bay, Gulf of Maine, New England",20.9020831805066,235740.549468056,0.0682933339531404,6.20424172904769,0.0151192023605773
"piscivorous","adult","Eastern Mediterranean",2.10178811132542,167.83104888295,0.347713469593686,68.1666439923474,1.81489474211419e-13
"piscivorous","adult","Europe, Celtic Sea ecosystem",12.9897337832027,791.833537668489,0.198520338369718,518.67690068236,9.7812009306917e-103
"piscivorous","adult","French Polynesian EEZ",-1.64593427582037,21176.9940663806,-0.000375264699002065,0.294767014919703,0.587246178185149
"piscivorous","adult","Great Channel South, Gulf of Maine, New England",125.166807253085,107597.245781302,0.122743107016766,102.579704197178,1.22274146393267e-22
"piscivorous","adult","Great South Bay, Long Island, New York",5.44632116641699,14.5631853115677,0.304812387364446,130.784341694212,2.58826202946318e-25
"piscivorous","adult","Gulf of Maine, New England",-307.330062225959,276034.961408492,0.00991259641549136,1.80094717937862,0.18344240447847
"piscivorous","adult","Jeffreys Ledge, Gulf of Maine, New England",30.1139830084535,147760.021989524,0.00342267496297699,2.3325588012809,0.127510327789256
"piscivorous","adult","Mid Atlantic",5.54412287304514,64.6364734633913,0.145592520787245,13.6097287305854,0.000430350550393749
"piscivorous","adult","Off the Bay of Biscay",120.756555830182,88678.7053828189,0.200709725331459,90.6462451930184,2.70482591554997e-19
"piscivorous","adult","South of Marthas Vineyard, New England",1527.79318298831,80233.3407799923,-0.046330124001577,0.335819695828038,0.571460155763786
"piscivorous","adult","Stellwagen Bank, Gulf of Maine, New England",62.6681856130385,192892.576380019,0.0353528269339436,19.5074689483582,1.22719848697391e-05
"piscivorous","juvenile","Apalachicola Bay, Florida",31.0032366469437,4602.36646169322,0.0217845925904294,1.62355242813778,0.213455733514303
"piscivorous","juvenile","Off the Bay of Biscay",-1.96797521586126e-11,5559.99999999962,0.499823839033503,2976.90230962941,7.69457822891199e-17
"piscivorous","juvenile","W Greenland",6.53844144716837,0.0932390373012151,0.550540228410065,25.4978644679396,7.1182239202537e-05
"piscivorous","larva / juvenile","Strait of Georgia",172.511898493461,9.86483143239672,0.147015087447103,2.72353678574574,0.133275952079355
"piscivorous","postlarva","Antarctic Peninsula",0.582050921513236,0.0382407206914082,0.593025179220826,47.6289430356757,9.72722953165719e-08
"planktivorous","adult","Eastern Mediterranean",49.6789473684212,2.36210526315787,-0.0496597350774193,0.101103972134957,0.75416813649542
"planktivorous","adult","French Polynesian EEZ",2.10495405767875,31783.8772343461,-0.00734715575772116,0.000781078246370253,0.977744771607622
"planktivorous","juvenile","Gulf of Alaska",6557.37704918046,2.25196721311474,NA,NA,NA
"planktivorous","larva","Antarctic Peninsula",303412.255984306,-0.175620190172289,0.218912857297044,90.1248681671541,5.62223327400262e-19
"planktivorous","larva","Catalan Sea",215.612238352205,0.00406712631900231,0.102379732663336,50.9568966280062,3.96075896662648e-12
"planktivorous","larva","Greenland",0.0224934241833164,0.012841847290578,0.19646110053723,12.7357514764896,0.000838980835628298
"planktivorous","larva","Western North Pacific",3.52458142165181,0.00447145509455239,-0.00448918309665247,0.030200873870582,0.862197987783812
"planktivorous","larva / juvenile","Strait of Georgia",100348.136755092,0.412017531898669,0.01994771868135,3.42209376818833,0.0668312825188673
"planktivorous","postlarva/juvenile","Antarctic Peninsula",21012.870102476,0.153516129748767,0.0728060983451744,21.65156363799,5.19518130117455e-06
"predacious","adult","Atlantic Ocean",1.9392770232205,1754.70401137526,0.00720189572016139,37.9163147692418,7.95138953987934e-10
"predacious","adult","Cape Cod Bay, Gulf of Maine, New England",53167.4559188799,284583.947865136,-0.0580151061782399,0.177491334866636,0.679934652598592
"predacious","adult","Eastern Mediterranean",4.66995038979443,3.38884414664005,0.0365030035958319,9.29702408759127,0.00257932032982752
"predacious","adult","French Polynesian EEZ",-27.7274005595723,20575.8736834174,0.00279233236082943,6.57510126609144,0.0104143264276381
"predacious","adult","Great Channel South, Gulf of Maine, New England",278951.451170416,90072.9795112695,0.27104228499724,9.55189872695552,0.00534097865226142
"predacious","adult","Gulf of Maine, New England",0,168000,NA,NA,NA
"predacious","adult","Jeffreys Ledge, Gulf of Maine, New England",5912.66381392444,135526.299947429,-0.027637620751461,0.0318042790949625,0.859486156430835
"predacious","adult","Mid Atlantic",1.80462752228188,71.3783704109279,0.292801658656098,16.3191272333702,0.000268459148836844
"predacious","adult","Off the Bay of Biscay",47.5990438892657,114065.246976831,0.0469047614113359,24.2285783096911,1.18524246776341e-06
"predacious","adult","South of Marthas Vineyard, New England",27001.0165568725,27747.5443777824,-0.0349604786278901,0.0541731575309057,0.817709927366765
"predacious","adult","Stellwagen Bank, Gulf of Maine, New England",366539.322859749,162190.405558652,0.00327000970457447,1.01968442649311,0.35893532018586
"predacious","juvenile","Gulf of Alaska",0.521625898429098,2.02429389845615,-0.00345367207364355,0.855445018410001,0.360428527576408
"predacious","juvenile","Off the Bay of Biscay",-2.74768666340406e-14,5560.00000000005,0.499061148281309,599.747230501298,0.802766014693954
