"","Record.number","In.refID","IndividualID","Predator","Predator.common.name","Predator.taxon","Predator.lifestage","Type.of.feeding.interaction","Predator.mass","Prey","Prey.common.name","Prey.taxon","Prey.mass","Prey.mass.unit","Location"
"1",1,"ATSH063","1","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1540,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",14.3,"g","Apalachicola Bay, Florida"
"2",2,"ATSH080","2","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1600,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.02,"g","Apalachicola Bay, Florida"
"3",3,"ATSH089","3","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1840,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",11.9,"g","Apalachicola Bay, Florida"
"4",4,"ATSH143","4","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",87.6,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",8.12,"g","Apalachicola Bay, Florida"
"5",5,"ATSH161","5","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",63.9,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.56,"g","Apalachicola Bay, Florida"
"6",6,"ATSH166","6","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",79.2,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.41,"g","Apalachicola Bay, Florida"
"7",7,"ATSH172","7","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",71.2,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",4.45,"g","Apalachicola Bay, Florida"
"8",8,"ATSH192","8","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",92.1,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.98,"g","Apalachicola Bay, Florida"
"9",9,"ATSH205","9","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",79.2,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.95,"g","Apalachicola Bay, Florida"
"10",10,"ATSH205","9","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",79.2,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.6,"g","Apalachicola Bay, Florida"
"11",11,"ATSH209","10","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",87.6,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",4.64,"g","Apalachicola Bay, Florida"
"12",12,"ATSH215","11","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",79.2,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.7,"g","Apalachicola Bay, Florida"
"13",13,"ATSH226","12","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",117,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.41,"g","Apalachicola Bay, Florida"
"14",14,"ATSH229","13","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",83.3,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",0.32,"g","Apalachicola Bay, Florida"
"15",15,"ATSH233","14","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",63.9,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.41,"g","Apalachicola Bay, Florida"
"16",16,"ATSH233","14","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",63.9,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.37,"g","Apalachicola Bay, Florida"
"17",17,"ATSH237","15","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",96.7,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",4.27,"g","Apalachicola Bay, Florida"
"18",18,"ATSH237","15","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",96.7,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",6.56,"g","Apalachicola Bay, Florida"
"19",19,"ATSH262","16","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",75.1,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",4.45,"g","Apalachicola Bay, Florida"
"20",20,"ATSH273","17","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",83.3,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",5.75,"g","Apalachicola Bay, Florida"
"21",21,"ATSH284","18","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",75.1,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.14,"g","Apalachicola Bay, Florida"
"22",22,"ATSH026","19","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1940,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",41,"g","Apalachicola Bay, Florida"
"23",23,"ATSH038","20","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1480,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",59.2,"g","Apalachicola Bay, Florida"
"24",24,"ATSH038","20","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1480,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",23,"g","Apalachicola Bay, Florida"
"25",25,"ATSH052","21","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1910,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",35.6,"g","Apalachicola Bay, Florida"
"26",26,"ATSH063","1","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1540,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",37.7,"g","Apalachicola Bay, Florida"
"27",27,"ATSH069","23","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1510,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",18.2,"g","Apalachicola Bay, Florida"
"28",28,"ATSH073","24","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1720,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",32.1,"g","Apalachicola Bay, Florida"
"29",29,"ATSH083","25","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1910,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",35.8,"g","Apalachicola Bay, Florida"
"30",30,"ATSH089","3","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1840,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",46.2,"g","Apalachicola Bay, Florida"
"31",31,"ATSH090","27","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1780,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",21.9,"g","Apalachicola Bay, Florida"
"32",32,"ATSH095","28","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1600,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",22,"g","Apalachicola Bay, Florida"
"33",33,"ATSH095","28","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1600,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",19.1,"g","Apalachicola Bay, Florida"
"34",34,"ATSH257","29","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",425,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",15,"g","Apalachicola Bay, Florida"
"35",35,"ATSH182","30","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",96.7,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",0.204,"g","Apalachicola Bay, Florida"
"36",36,"ATSH182","30","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",96.7,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",1.53,"g","Apalachicola Bay, Florida"
"37",37,"ATSH229","13","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",83.3,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",0.204,"g","Apalachicola Bay, Florida"
"38",38,"ATSH125","32","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",96.7,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",1.91,"g","Apalachicola Bay, Florida"
"39",39,"ATSH226","12","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",117,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",1.16,"g","Apalachicola Bay, Florida"
"40",40,"ATSH226","12","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",117,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.13,"g","Apalachicola Bay, Florida"
"41",41,"ATSH226","12","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",117,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.2,"g","Apalachicola Bay, Florida"
"42",42,"ATSH022","34","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",400,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.05,"g","Apalachicola Bay, Florida"
"43",43,"ATSH022","34","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",400,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",2.13,"g","Apalachicola Bay, Florida"
"44",44,"ATSH022","34","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",400,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.29,"g","Apalachicola Bay, Florida"
"45",45,"ATSH022","34","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",400,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.47,"g","Apalachicola Bay, Florida"
"46",46,"ATSH022","34","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",400,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",3.97,"g","Apalachicola Bay, Florida"
"47",47,"ATSH023","35","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",590,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",8.12,"g","Apalachicola Bay, Florida"
"48",48,"ATSH059","36","Rhizoprionodon terraenovae","Atlantic sharpnose shark","ectotherm vertebrate","adult","predacious/piscivorous",1480,"teleosts/molluscs/crustaceans","teleosts/molluscs/crustaceans","mixed",9.47,"g","Apalachicola Bay, Florida"
